loadsmart_id,shipper_key,carrier_key,lane_key,quote_date,book_date,source_date,pickup_date,delivery_date,book_price,source_price,pnl,mileage,equipment_type,carrier_rating,sourcing_channel,carrier_dropped_us_count,carrier_on_time_to_pickup,carrier_on_time_to_delivery,carrier_on_time_overall,pickup_appointment_time,delivery_appointment_time,has_mobile_app_tracking,has_macropoint_tracking,has_edi_tracking,contracted_load,load_booked_autonomously,load_sourced_autonomously,load_was_cancelled
206431033,be92243fcbb80d0da9e98f9fdd8a0a6b,3b5361406867825d7daeb090f40be539,3cbe03f986d058c51e2e3aa14a20adeb,2024-12-15 13:08:00,2024-12-15 13:09:00,2024-12-15 13:44:00,2024-12-15 11:00:00,2024-12-21 02:00:00,8922.51,8500.0,422.51,2753.5,RFR,,dat_in,0,true,true,true,2024-12-15 20:00:00,2024-12-21 00:00:00,false,false,false,false,false,false,false
206521177,950799b053ed2e3d7f02c0e13ae04519,061b2731744056c583e4210d39173a6a,1aa63e2eaf33e58faaf69cb338525572,2024-11-20 09:32:00,2024-11-20 09:32:00,2024-11-21 09:46:00,2024-11-21 14:00:00,2024-11-27 16:00:00,8726.17,4000.0,4726.17,2331.3,DRV,,,0,true,true,true,2024-11-21 14:00:00,2024-11-27 17:00:00,false,false,false,false,false,false,false
206694049,be92243fcbb80d0da9e98f9fdd8a0a6b,8d00bf2c7d3a9b0785a33c4212a1523e,40546b36666e18b8d42e1c8433a32195,2024-06-01 18:04:00,2024-06-01 18:04:00,2024-06-02 15:11:00,2024-06-03 02:00:00,2024-06-09 04:10:00,8548.19,8220.0,328.19,3013.4,RFR,,,0,true,true,true,2024-06-03 02:00:00,2024-06-08 23:00:00,false,false,false,false,false,false,false
206553113,950799b053ed2e3d7f02c0e13ae04519,c8ee719de63a83fb35f532710b648d8d,5861044d3e842c37c14e028402c05238,2024-11-20 09:10:00,2024-11-20 09:10:00,2024-11-20 12:39:00,2024-11-22 17:00:00,2024-11-28 19:00:00,8409.27,5000.0,3409.27,2082.3,DRV,,,0,true,true,true,2024-11-22 17:00:00,2024-11-28 19:00:00,false,false,false,false,false,false,false
206518817,950799b053ed2e3d7f02c0e13ae04519,ef73e7dc159f22597afefed1c74211bd,ed61663d23f84f0e6450a477030db15c,2024-09-25 15:07:00,2024-09-25 15:07:00,2024-09-26 09:05:00,2024-09-26 17:00:00,2024-10-02 11:55:00,8351.95,5500.0,2851.95,2847.7,DRV,,,0,true,true,true,2024-09-26 17:00:00,2024-10-02 10:00:00,false,false,false,false,false,false,false
206427025,950799b053ed2e3d7f02c0e13ae04519,a9ab47736cd582af9572300e7a395b0e,3fcd0407b2479145107ef28a6e889fc6,2024-12-19 16:30:00,2024-12-19 16:30:00,2024-12-20 10:38:00,2024-12-23 15:00:00,2025-01-04 12:00:00,8140.88,11050.0,-2909.12,2863.1,DRV,,,0,true,true,true,2024-12-23 15:00:00,2024-12-29 14:00:00,false,false,false,false,false,false,false
206478177,950799b053ed2e3d7f02c0e13ae04519,f36c01c029ff647239bb91d59dcfad32,3fcd0407b2479145107ef28a6e889fc6,2024-10-30 12:47:00,2024-10-30 12:47:00,2024-10-31 11:24:00,2024-10-31 14:00:00,2024-11-03 10:00:00,7940.21,6100.0,1840.21,0.0,DRV,,,0,true,true,true,2024-10-31 14:00:00,2024-11-03 12:00:00,false,false,false,false,false,false,false
206754337,950799b053ed2e3d7f02c0e13ae04519,3fc165db01e32c58b1c5cacf5d9e425c,fbcd86d4a2af838f03bd1650086ae253,2024-12-29 12:07:00,2024-12-29 12:07:00,2025-01-02 13:56:00,2025-01-03 08:00:00,2025-01-05 03:10:00,7928.8,6000.0,1928.8,2852.8,DRV,,dat_in,0,true,true,true,2025-01-03 09:00:00,2025-01-05 01:00:00,false,false,false,false,false,false,false
206424601,950799b053ed2e3d7f02c0e13ae04519,c8ee719de63a83fb35f532710b648d8d,5861044d3e842c37c14e028402c05238,2024-11-20 09:00:00,2024-11-20 09:00:00,2024-11-20 12:33:00,2024-11-21 13:00:00,2024-11-27 13:30:00,7784.82,5000.0,2784.82,2082.3,DRV,,,0,true,true,true,2024-11-21 13:00:00,2024-11-27 17:00:00,false,false,false,false,false,false,false
206554617,950799b053ed2e3d7f02c0e13ae04519,c8ee719de63a83fb35f532710b648d8d,5861044d3e842c37c14e028402c05238,2024-11-20 09:21:00,2024-11-20 09:21:00,2024-11-20 12:33:00,2024-11-22 12:00:00,2024-11-28 19:00:00,7784.82,5000.0,2784.82,2082.3,DRV,,,0,true,true,true,2024-11-22 12:00:00,2024-11-28 19:00:00,false,false,false,false,false,false,false
